year,week,fire_count,avg_frp
2010,12,25,12.26
2010,13,127,7.94
2010,14,223,9.93
2010,15,155,11.49
2010,16,407,12.07
2010,17,325,9.89
2010,18,484,14.47
2010,19,83,12.84
2010,20,108,13.27
2010,21,61,10.44
2010,22,49,11.66
2010,23,13,9.98
2010,24,38,14.27
2010,25,92,23.06
2010,26,295,30.71
2010,27,7,16.91
2010,28,47,10.06
2010,29,26,10.64
2010,30,49,8.96
2010,31,12,7.55
2010,32,69,8.41
2010,33,79,11.24
2010,34,115,9.14
2010,35,145,8.26
2010,36,381,10.04
2010,37,123,8.48
2010,38,311,5.78
2010,39,582,6.84
2010,40,1338,9.04
2010,41,510,12.27
2010,42,2334,21.14
2010,43,2190,19.06
2010,44,659,18.92
2010,45,128,18.52
2010,46,19,22.38
2010,47,5,25.64
2011,10,1,6.4
2011,11,2,6.65
2011,12,49,9.88
2011,13,580,14.06
2011,14,883,13.57
2011,15,649,19.2
2011,16,154,11.66
2011,17,196,11.13
2011,18,282,14.43
2011,19,10,13.37
2011,20,84,8.7
2011,21,79,14.94
2011,22,16,8.47
2011,23,11,9.59
2011,24,28,9.92
2011,25,18,13.53
2011,26,47,15.93
2011,27,36,8.78
2011,28,42,9.57
2011,29,58,12.53
2011,30,27,10.33
2011,31,25,8.65
2011,32,36,17.33
2011,33,164,10.92
2011,34,461,14.69
2011,35,278,9.96
2011,36,319,11.79
2011,37,145,8.6
2011,38,218,7.57
2011,39,118,8.71
2011,40,2204,10.93
2011,41,4090,12.17
2011,42,3065,10.88
2011,43,3052,18.26
2011,44,1383,14.07
2011,45,1860,22.47
2011,46,84,22.54
2011,47,16,14.59
2011,48,38,22.2
2011,49,7,27.54
2011,51,1,18.1
2012,1,2,24.9
2012,5,7,14.1
2012,6,6,36.63
2012,7,20,19.0
2012,8,88,16.75
2012,9,478,20.03
2012,10,38,19.47
2012,11,284,12.09
2012,12,481,20.84
2012,13,1125,15.4
2012,14,1045,12.68
2012,15,835,13.04
2012,16,884,14.2
2012,17,116,12.6
2012,18,137,16.27
2012,19,81,18.65
2012,20,80,10.92
2012,21,109,16.44
2012,22,34,12.3
2012,23,24,8.82
2012,24,6,9.35
