year,ten_day,fire_count,avg_frp
2010,上旬,4069,11.8
2010,中旬,2170,16.57
2010,下旬,5375,17.23
2011,上旬,7938,14.44
2011,中旬,7112,12.73
2011,下旬,5766,15.34
2012,上旬,3068,13.67
2012,中旬,2396,12.94
2012,下旬,3485,14.62
2013,上旬,5759,13.32
2013,中旬,4056,12.37
2013,下旬,3933,15.17
2014,上旬,9255,14.59
2014,中旬,12097,13.62
2014,下旬,7218,16.11
2015,上旬,12156,16.7
2015,中旬,7204,15.97
2015,下旬,13285,17.89
2016,上旬,5349,17.4
2016,中旬,4815,13.63
2016,下旬,13678,15.83
2017,上旬,14927,17.14
2017,中旬,8493,15.25
2017,下旬,10318,17.27
2018,上旬,3508,13.95
2018,中旬,1563,11.92
2018,下旬,6044,14.72
2019,上旬,3220,14.33
2019,中旬,1994,13.93
2019,下旬,10540,18.68
